"","id","l1","rf","rq","tot"
"58006","W02000160 W02000166",0,1,1,2
"58007","W02000160 W02000168",0,1,1,2
"58008","W02000160 W02000172",0,1,1,2
"58009","W02000160 W02000174",0,1,1,2
"58010","W02000161 W02000163",0,1,1,2
"58011","W02000161 W02000164",0,1,1,2
"58012","W02000161 W02000165",0,1,1,2
"58013","W02000161 W02000166",0,1,1,2
"58014","W02000161 W02000167",0,1,1,2
"58015","W02000163 W02000164",0,1,1,2
"58016","W02000163 W02000165",0,1,1,2
"58017","W02000163 W02000166",0,1,1,2
"58018","W02000163 W02000167",0,1,1,2
"58019","W02000164 W02000165",0,1,1,2
"58020","W02000164 W02000166",0,1,1,2
"58021","W02000164 W02000167",0,1,1,2
"58022","W02000165 W02000166",0,1,1,2
"58023","W02000165 W02000167",0,1,1,2
"58024","W02000166 W02000167",0,1,1,2
"58025","W02000166 W02000174",0,1,1,2
"58026","W02000166 W02000185",0,1,1,2
"58027","W02000168 W02000172",0,1,1,2
"58028","W02000169 W02000170",0,1,1,2
"58029","W02000169 W02000173",0,1,1,2
"58030","W02000169 W02000175",0,1,1,2
"58031","W02000169 W02000177",0,1,1,2
"58032","W02000169 W02000202",0,1,1,2
"58033","W02000170 W02000171",0,1,1,2
"58034","W02000170 W02000173",0,1,1,2
"58035","W02000170 W02000175",0,1,1,2
"58036","W02000170 W02000176",0,1,1,2
"58037","W02000170 W02000177",0,1,1,2
"58038","W02000170 W02000178",0,1,1,2
"58039","W02000170 W02000181",0,1,1,2
"58040","W02000170 W02000182",0,1,1,2
"58041","W02000171 W02000172",0,1,1,2
"58042","W02000171 W02000174",0,1,1,2
"58043","W02000171 W02000175",0,1,1,2
"58044","W02000171 W02000176",0,1,1,2
"58045","W02000171 W02000178",0,1,1,2
"58046","W02000171 W02000179",0,1,1,2
"58047","W02000171 W02000180",0,1,1,2
"58048","W02000171 W02000182",0,1,1,2
"58049","W02000171 W02000184",0,1,1,2
"58050","W02000172 W02000174",0,1,1,2
"58051","W02000172 W02000179",0,1,1,2
"58052","W02000173 W02000175",0,1,1,2
"58053","W02000173 W02000176",0,1,1,2
"58054","W02000173 W02000177",0,1,1,2
"58055","W02000173 W02000181",0,1,1,2
"58056","W02000173 W02000204",0,1,1,2
"58057","W02000173 W02000205",0,1,1,2
"58058","W02000173 W02000208",0,1,1,2
"58059","W02000174 W02000179",0,1,1,2
"58060","W02000174 W02000185",0,1,1,2
"58061","W02000174 W02000187",0,1,1,2
"58062","W02000175 W02000176",0,1,1,2
"58063","W02000175 W02000177",0,1,1,2
"58064","W02000175 W02000178",0,1,1,2
"58065","W02000175 W02000180",0,1,1,2
"58066","W02000175 W02000181",0,1,1,2
"58067","W02000175 W02000182",0,1,1,2
"58068","W02000175 W02000183",0,1,1,2
"58069","W02000175 W02000184",0,1,1,2
"58070","W02000175 W02000186",0,1,1,2
"58071","W02000175 W02000188",0,1,1,2
"58072","W02000176 W02000177",0,1,1,2
"58073","W02000176 W02000178",0,1,1,2
"58074","W02000176 W02000180",0,1,1,2
"58075","W02000176 W02000181",0,1,1,2
"58076","W02000176 W02000182",0,1,1,2
"58077","W02000176 W02000183",0,1,1,2
"58078","W02000176 W02000184",0,1,1,2
"58079","W02000176 W02000186",0,1,1,2
"58080","W02000176 W02000188",0,1,1,2
"58081","W02000176 W02000191",0,1,1,2
"58082","W02000176 W02000192",0,1,1,2
"58083","W02000177 W02000181",0,1,1,2
"58084","W02000177 W02000182",0,1,1,2
"58085","W02000177 W02000183",0,1,1,2
"58086","W02000177 W02000188",0,1,1,2
"58087","W02000177 W02000205",0,1,1,2
"58088","W02000177 W02000208",0,1,1,2
"58089","W02000178 W02000179",0,1,1,2
"58090","W02000178 W02000180",0,1,1,2
"58091","W02000178 W02000181",0,1,1,2
"58092","W02000178 W02000182",0,1,1,2
"58093","W02000178 W02000183",0,1,1,2
"58094","W02000178 W02000184",0,1,1,2
"58095","W02000178 W02000186",0,1,1,2
"58096","W02000178 W02000188",0,1,1,2
"58097","W02000178 W02000189",0,1,1,2
"58098","W02000178 W02000190",0,1,1,2
"58099","W02000178 W02000191",0,1,1,2
"58100","W02000178 W02000192",0,1,1,2
"58101","W02000178 W02000193",0,1,1,2
"58102","W02000178 W02000194",0,1,1,2
"58103","W02000179 W02000180",0,1,1,2
"58104","W02000179 W02000184",0,1,1,2
"58105","W02000179 W02000185",0,1,1,2
"58106","W02000179 W02000187",0,1,1,2
"58107","W02000179 W02000189",0,1,1,2
"58108","W02000179 W02000190",0,1,1,2
"58109","W02000179 W02000194",0,1,1,2
"58110","W02000180 W02000181",0,1,1,2
"58111","W02000180 W02000182",0,1,1,2
"58112","W02000180 W02000183",0,1,1,2
"58113","W02000180 W02000184",0,1,1,2
"58114","W02000180 W02000186",0,1,1,2
"58115","W02000180 W02000187",0,1,1,2
"58116","W02000180 W02000188",0,1,1,2
"58117","W02000180 W02000189",0,1,1,2
"58118","W02000180 W02000190",0,1,1,2
"58119","W02000180 W02000191",0,1,1,2
"58120","W02000180 W02000192",0,1,1,2
"58121","W02000180 W02000193",0,1,1,2
"58122","W02000180 W02000194",0,1,1,2
"58123","W02000181 W02000182",0,1,1,2
"58124","W02000181 W02000183",0,1,1,2
"58125","W02000181 W02000186",0,1,1,2
"58126","W02000181 W02000188",0,1,1,2
"58127","W02000181 W02000192",0,1,1,2
"58128","W02000181 W02000193",0,1,1,2
"58129","W02000181 W02000208",0,1,1,2
"58130","W02000182 W02000183",0,1,1,2
"58131","W02000182 W02000184",0,1,1,2
"58132","W02000182 W02000186",0,1,1,2
"58133","W02000182 W02000188",0,1,1,2
"58134","W02000182 W02000189",0,1,1,2
"58135","W02000182 W02000190",0,1,1,2
"58136","W02000182 W02000191",0,1,1,2
"58137","W02000182 W02000192",0,1,1,2
"58138","W02000182 W02000193",0,1,1,2
"58139","W02000182 W02000194",0,1,1,2
"58140","W02000183 W02000184",0,1,1,2
"58141","W02000183 W02000186",0,1,1,2
"58142","W02000183 W02000188",0,1,1,2
"58143","W02000183 W02000189",0,1,1,2
"58144","W02000183 W02000191",0,1,1,2
"58145","W02000183 W02000192",0,1,1,2
"58146","W02000183 W02000193",0,1,1,2
"58147","W02000183 W02000194",0,1,1,2
"58148","W02000184 W02000186",0,1,1,2
"58149","W02000184 W02000187",0,1,1,2
"58150","W02000184 W02000188",0,1,1,2
"58151","W02000184 W02000189",0,1,1,2
"58152","W02000184 W02000190",0,1,1,2
"58153","W02000184 W02000191",0,1,1,2
"58154","W02000184 W02000192",0,1,1,2
"58155","W02000184 W02000193",0,1,1,2
"58156","W02000184 W02000194",0,1,1,2
"58157","W02000186 W02000187",0,1,1,2
"58158","W02000186 W02000188",0,1,1,2
"58159","W02000186 W02000189",0,1,1,2
"58160","W02000186 W02000190",0,1,1,2
"58161","W02000186 W02000191",0,1,1,2
"58162","W02000186 W02000192",0,1,1,2
"58163","W02000186 W02000193",0,1,1,2
"58164","W02000186 W02000194",0,1,1,2
"58165","W02000187 W02000189",0,1,1,2
"58166","W02000187 W02000190",0,1,1,2
"58167","W02000187 W02000191",0,1,1,2
"58168","W02000187 W02000193",0,1,1,2
"58169","W02000187 W02000194",0,1,1,2
"58170","W02000187 W02000195",0,1,1,2
"58171","W02000187 W02000196",0,1,1,2
"58172","W02000188 W02000191",0,1,1,2
"58173","W02000188 W02000192",0,1,1,2
"58174","W02000188 W02000193",0,1,1,2
"58175","W02000188 W02000194",0,1,1,2
"58176","W02000189 W02000190",0,1,1,2
"58177","W02000189 W02000191",0,1,1,2
"58178","W02000189 W02000192",0,1,1,2
"58179","W02000189 W02000193",0,1,1,2
"58180","W02000189 W02000194",0,1,1,2
"58181","W02000189 W02000195",0,1,1,2
"58182","W02000189 W02000196",0,1,1,2
"58183","W02000190 W02000191",0,1,1,2
"58184","W02000190 W02000192",0,1,1,2
"58185","W02000190 W02000193",0,1,1,2
"58186","W02000190 W02000194",0,1,1,2
"58187","W02000190 W02000195",0,1,1,2
"58188","W02000190 W02000196",0,1,1,2
"58189","W02000191 W02000192",0,1,1,2
"58190","W02000191 W02000193",0,1,1,2
"58191","W02000191 W02000194",0,1,1,2
"58192","W02000191 W02000196",0,1,1,2
"58193","W02000192 W02000193",0,1,1,2
"58194","W02000192 W02000194",0,1,1,2
"58195","W02000193 W02000194",0,1,1,2
"58196","W02000193 W02000196",0,1,1,2
"58197","W02000194 W02000195",0,1,1,2
"58198","W02000194 W02000196",0,1,1,2
"58199","W02000194 W02000198",0,1,1,2
"58200","W02000195 W02000196",0,1,1,2
"58201","W02000195 W02000198",0,1,1,2
"58202","W02000196 W02000198",0,1,1,2
"58203","W02000200 W02000416",0,1,1,2
"58204","W02000203 W02000204",0,1,1,2
"58205","W02000203 W02000205",0,1,1,2
"58206","W02000203 W02000206",0,1,1,2
"58207","W02000203 W02000207",0,1,1,2
"58208","W02000203 W02000210",0,1,1,2
"58209","W02000204 W02000205",0,1,1,2
"58210","W02000204 W02000206",0,1,1,2
"58211","W02000204 W02000207",0,1,1,2
"58212","W02000204 W02000208",0,1,1,2
"58213","W02000204 W02000210",0,1,1,2
"58214","W02000204 W02000211",0,1,1,2
"58215","W02000205 W02000206",0,1,1,2
"58216","W02000205 W02000207",0,1,1,2
"58217","W02000205 W02000208",0,1,1,2
"58218","W02000205 W02000210",0,1,1,2
"58219","W02000205 W02000211",0,1,1,2
"58220","W02000206 W02000207",0,1,1,2
"58221","W02000206 W02000208",0,1,1,2
"58222","W02000206 W02000210",0,1,1,2
"58223","W02000206 W02000211",0,1,1,2
"58224","W02000206 W02000213",0,1,1,2
"58225","W02000207 W02000208",0,1,1,2
"58226","W02000207 W02000210",0,1,1,2
"58227","W02000207 W02000211",0,1,1,2
"58228","W02000207 W02000212",0,1,1,2
"58229","W02000207 W02000213",0,1,1,2
"58230","W02000208 W02000210",0,1,1,2
"58231","W02000208 W02000211",0,1,1,2
"58232","W02000209 W02000218",0,1,1,2
"58233","W02000210 W02000211",0,1,1,2
"58234","W02000210 W02000212",0,1,1,2
"58235","W02000210 W02000213",0,1,1,2
"58236","W02000211 W02000212",0,1,1,2
"58237","W02000211 W02000213",0,1,1,2
"58238","W02000211 W02000214",0,1,1,2
"58239","W02000212 W02000213",0,1,1,2
"58240","W02000212 W02000214",0,1,1,2
"58241","W02000212 W02000215",0,1,1,2
"58242","W02000212 W02000216",0,1,1,2
"58243","W02000212 W02000217",0,1,1,2
"58244","W02000213 W02000214",0,1,1,2
"58245","W02000213 W02000215",0,1,1,2
"58246","W02000213 W02000216",0,1,1,2
"58247","W02000214 W02000215",0,1,1,2
"58248","W02000214 W02000216",0,1,1,2
"58249","W02000215 W02000216",0,1,1,2
"58250","W02000215 W02000217",0,1,1,2
"58251","W02000216 W02000217",0,1,1,2
"58252","W02000218 W02000219",0,1,1,2
"58253","W02000218 W02000222",0,1,1,2
"58254","W02000219 W02000221",0,1,1,2
"58255","W02000219 W02000222",0,1,1,2
"58256","W02000220 W02000221",0,1,1,2
"58257","W02000221 W02000222",0,1,1,2
"58258","W02000223 W02000224",0,1,1,2
"58259","W02000223 W02000228",0,1,1,2
"58260","W02000223 W02000229",0,1,1,2
"58261","W02000223 W02000230",0,1,1,2
"58262","W02000223 W02000231",0,1,1,2
"58263","W02000223 W02000233",0,1,1,2
"58264","W02000223 W02000234",0,1,1,2
"58265","W02000224 W02000228",0,1,1,2
"58266","W02000224 W02000229",0,1,1,2
"58267","W02000224 W02000230",0,1,1,2
"58268","W02000224 W02000231",0,1,1,2
"58269","W02000224 W02000232",0,1,1,2
"58270","W02000224 W02000233",0,1,1,2
"58271","W02000224 W02000234",0,1,1,2
"58272","W02000225 W02000227",0,1,1,2
"58273","W02000226 W02000228",0,1,1,2
"58274","W02000226 W02000232",0,1,1,2
"58275","W02000226 W02000233",0,1,1,2
"58276","W02000226 W02000280",0,1,1,2
"58277","W02000227 W02000235",0,1,1,2
"58278","W02000227 W02000236",0,1,1,2
"58279","W02000228 W02000229",0,1,1,2
"58280","W02000228 W02000230",0,1,1,2
"58281","W02000228 W02000231",0,1,1,2
"58282","W02000228 W02000232",0,1,1,2
"58283","W02000228 W02000233",0,1,1,2
"58284","W02000228 W02000234",0,1,1,2
"58285","W02000229 W02000230",0,1,1,2
"58286","W02000229 W02000231",0,1,1,2
"58287","W02000229 W02000232",0,1,1,2
"58288","W02000229 W02000233",0,1,1,2
"58289","W02000229 W02000234",0,1,1,2
"58290","W02000230 W02000231",0,1,1,2
"58291","W02000230 W02000232",0,1,1,2
"58292","W02000230 W02000233",0,1,1,2
"58293","W02000230 W02000234",0,1,1,2
"58294","W02000231 W02000232",0,1,1,2
"58295","W02000231 W02000233",0,1,1,2
"58296","W02000231 W02000234",0,1,1,2
"58297","W02000232 W02000233",0,1,1,2
"58298","W02000232 W02000234",0,1,1,2
"58299","W02000233 W02000234",0,1,1,2
"58300","W02000233 W02000237",0,1,1,2
"58301","W02000234 W02000237",0,1,1,2
"58302","W02000235 W02000236",0,1,1,2
"58303","W02000239 W02000409",0,1,1,2
"58304","W02000239 W02000411",0,1,1,2
"58305","W02000240 W02000241",0,1,1,2
"58306","W02000240 W02000242",0,1,1,2
"58307","W02000240 W02000244",0,1,1,2
"58308","W02000240 W02000245",0,1,1,2
"58309","W02000240 W02000406",0,1,1,2
"58310","W02000240 W02000408",0,1,1,2
"58311","W02000240 W02000410",0,1,1,2
"58312","W02000240 W02000412",0,1,1,2
"58313","W02000240 W02000422",0,1,1,2
"58314","W02000240 W02000423",0,1,1,2
"58315","W02000241 W02000242",0,1,1,2
"58316","W02000241 W02000244",0,1,1,2
"58317","W02000241 W02000408",0,1,1,2
"58318","W02000241 W02000410",0,1,1,2
"58319","W02000241 W02000412",0,1,1,2
"58320","W02000241 W02000422",0,1,1,2
"58321","W02000241 W02000423",0,1,1,2
"58322","W02000242 W02000243",0,1,1,2
"58323","W02000242 W02000244",0,1,1,2
"58324","W02000242 W02000245",0,1,1,2
"58325","W02000242 W02000248",0,1,1,2
"58326","W02000242 W02000410",0,1,1,2
"58327","W02000242 W02000411",0,1,1,2
"58328","W02000242 W02000412",0,1,1,2
"58329","W02000242 W02000422",0,1,1,2
"58330","W02000242 W02000423",0,1,1,2
"58331","W02000243 W02000245",0,1,1,2
"58332","W02000243 W02000246",0,1,1,2
"58333","W02000243 W02000248",0,1,1,2
"58334","W02000243 W02000249",0,1,1,2
"58335","W02000243 W02000251",0,1,1,2
"58336","W02000244 W02000245",0,1,1,2
"58337","W02000244 W02000412",0,1,1,2
"58338","W02000244 W02000422",0,1,1,2
"58339","W02000244 W02000423",0,1,1,2
"58340","W02000245 W02000246",0,1,1,2
"58341","W02000245 W02000248",0,1,1,2
"58342","W02000245 W02000249",0,1,1,2
"58343","W02000245 W02000251",0,1,1,2
"58344","W02000246 W02000248",0,1,1,2
"58345","W02000246 W02000249",0,1,1,2
"58346","W02000246 W02000251",0,1,1,2
"58347","W02000248 W02000249",0,1,1,2
"58348","W02000248 W02000251",0,1,1,2
"58349","W02000249 W02000251",0,1,1,2
"58350","W02000252 W02000253",0,1,1,2
"58351","W02000252 W02000254",0,1,1,2
"58352","W02000253 W02000254",0,1,1,2
"58353","W02000253 W02000255",0,1,1,2
"58354","W02000253 W02000256",0,1,1,2
"58355","W02000254 W02000255",0,1,1,2
"58356","W02000254 W02000256",0,1,1,2
"58357","W02000255 W02000256",0,1,1,2
"58358","W02000255 W02000257",0,1,1,2
"58359","W02000255 W02000286",0,1,1,2
"58360","W02000255 W02000287",0,1,1,2
"58361","W02000256 W02000257",0,1,1,2
"58362","W02000256 W02000259",0,1,1,2
"58363","W02000256 W02000260",0,1,1,2
"58364","W02000257 W02000259",0,1,1,2
"58365","W02000257 W02000288",0,1,1,2
"58366","W02000258 W02000261",0,1,1,2
"58367","W02000258 W02000262",0,1,1,2
"58368","W02000259 W02000263",0,1,1,2
"58369","W02000260 W02000261",0,1,1,2
"58370","W02000260 W02000262",0,1,1,2
"58371","W02000260 W02000264",0,1,1,2
"58372","W02000260 W02000265",0,1,1,2
"58373","W02000260 W02000267",0,1,1,2
"58374","W02000261 W02000262",0,1,1,2
"58375","W02000261 W02000265",0,1,1,2
"58376","W02000262 W02000264",0,1,1,2
"58377","W02000262 W02000265",0,1,1,2
"58378","W02000262 W02000267",0,1,1,2
"58379","W02000263 W02000266",0,1,1,2
"58380","W02000263 W02000270",0,1,1,2
"58381","W02000263 W02000289",0,1,1,2
"58382","W02000263 W02000302",0,1,1,2
"58383","W02000264 W02000265",0,1,1,2
"58384","W02000264 W02000267",0,1,1,2
"58385","W02000264 W02000268",0,1,1,2
"58386","W02000264 W02000269",0,1,1,2
"58387","W02000264 W02000271",0,1,1,2
"58388","W02000265 W02000267",0,1,1,2
"58389","W02000265 W02000268",0,1,1,2
"58390","W02000265 W02000269",0,1,1,2
"58391","W02000266 W02000268",0,1,1,2
"58392","W02000266 W02000270",0,1,1,2
"58393","W02000266 W02000272",0,1,1,2
"58394","W02000266 W02000273",0,1,1,2
"58395","W02000267 W02000268",0,1,1,2
"58396","W02000267 W02000269",0,1,1,2
"58397","W02000267 W02000271",0,1,1,2
"58398","W02000267 W02000274",0,1,1,2
"58399","W02000268 W02000269",0,1,1,2
"58400","W02000268 W02000271",0,1,1,2
"58401","W02000268 W02000272",0,1,1,2
"58402","W02000268 W02000274",0,1,1,2
"58403","W02000268 W02000275",0,1,1,2
"58404","W02000269 W02000271",0,1,1,2
"58405","W02000269 W02000274",0,1,1,2
"58406","W02000269 W02000275",0,1,1,2
"58407","W02000270 W02000272",0,1,1,2
"58408","W02000270 W02000273",0,1,1,2
"58409","W02000270 W02000276",0,1,1,2
"58410","W02000271 W02000272",0,1,1,2
"58411","W02000271 W02000274",0,1,1,2
"58412","W02000271 W02000275",0,1,1,2
"58413","W02000272 W02000273",0,1,1,2
"58414","W02000272 W02000276",0,1,1,2
"58415","W02000272 W02000278",0,1,1,2
"58416","W02000273 W02000276",0,1,1,2
"58417","W02000273 W02000277",0,1,1,2
"58418","W02000273 W02000278",0,1,1,2
"58419","W02000273 W02000279",0,1,1,2
"58420","W02000273 W02000307",0,1,1,2
"58421","W02000274 W02000275",0,1,1,2
"58422","W02000276 W02000277",0,1,1,2
"58423","W02000276 W02000278",0,1,1,2
"58424","W02000276 W02000279",0,1,1,2
"58425","W02000276 W02000307",0,1,1,2
"58426","W02000277 W02000278",0,1,1,2
"58427","W02000277 W02000307",0,1,1,2
"58428","W02000277 W02000308",0,1,1,2
"58429","W02000277 W02000312",0,1,1,2
"58430","W02000277 W02000313",0,1,1,2
"58431","W02000277 W02000372",0,1,1,2
"58432","W02000277 W02000380",0,1,1,2
"58433","W02000278 W02000279",0,1,1,2
"58434","W02000278 W02000281",0,1,1,2
"58435","W02000278 W02000380",0,1,1,2
"58436","W02000279 W02000281",0,1,1,2
"58437","W02000279 W02000282",0,1,1,2
"58438","W02000279 W02000380",0,1,1,2
"58439","W02000280 W02000282",0,1,1,2
"58440","W02000281 W02000282",0,1,1,2
"58441","W02000284 W02000285",0,1,1,2
"58442","W02000284 W02000286",0,1,1,2
"58443","W02000284 W02000287",0,1,1,2
"58444","W02000284 W02000415",0,1,1,2
"58445","W02000285 W02000286",0,1,1,2
"58446","W02000285 W02000287",0,1,1,2
"58447","W02000285 W02000415",0,1,1,2
